Question Number,Question,Answer,Category,Difficulty
1,What is a sorting algorithm?,"A sorting algorithm arranges data in a particular order (e.g.,  ascending or descending).""",Algorithms,Easy
2,What is binary search?,"Binary search repeatedly divides a sorted list to find an element, reducing the search space by half each time.",Algorithms,Easy
3,What is an algorithm?,"An algorithm is a set of instructions to solve a specific problem or perform a computation.""",Algorithms,Easy
4,What is time complexity?,"Time complexity is a measure of the time an algorithm takes based on input size.""",Algorithms,Easy
5,What is space complexity?,"Space complexity measures the memory an algorithm uses relative to input size.""",Algorithms,Easy
6,What is linear search?,"Linear search checks each element in a list until the desired element is found.""",Algorithms,Easy
7,What is recursion?,"Recursion is a technique where a function calls itself to solve smaller instances of the problem.""",Algorithms,Easy
8,What is a greedy algorithm?,"A greedy algorithm makes locally optimal choices at each step in hopes of finding a global optimum.""",Algorithms,Easy
9,What is a hash table?,"A hash table stores key-value pairs with fast access using a hash function.""",Algorithms,Easy
10,What is the difference between array and linked list?,"Arrays store elements in contiguous memory; linked lists use nodes with pointers to the next element.""",Algorithms,Easy
11,What is a tree and its types?,"A tree is a hierarchical data structure; types include binary tree,  BST, AVL, etc.",Algorithms,Medium
12,What is dynamic programming?,"Dynamic programming solves complex problems by breaking them into simpler subproblems and storing the results.""",Algorithms,Medium
13,What is memoization?,"Memoization stores previously computed results to avoid redundant calculations.""",Algorithms,Medium
14,What is backtracking?,"Backtracking is a method to find all solutions by exploring all possibilities and removing those that fail constraints.""",Algorithms,Medium
15,What are graph traversal algorithms?,"Algorithms like BFS and DFS explore nodes in a graph systematically.""",Algorithms,Medium
16,What is Dijkstra's algorithm?,"Dijkstra's algorithm finds the shortest path from a source node to all other nodes in a graph with non-negative weights.""",Algorithms,Medium
17,What is Big O notation?,"Big O notation describes the upper bound of an algorithm's running time or space.""",Algorithms,Medium
18,What is merge sort?,"Merge sort is a divide-and-conquer sorting algorithm that splits and merges lists recursively.""",Algorithms,Medium
19,What is quicksort?,"Quicksort selects a pivot and partitions the array into elements less or greater than the pivot.""",Algorithms,Medium
20,What is a priority queue?,"A priority queue is a data structure where each element has a priority and higher priority elements are served first.""",Algorithms,Medium
21,What is NP-completeness?,"NP-complete problems are decision problems for which no known polynomial-time solution exists,  but a solution can be verified quickly.",Algorithms,Hard
